,name,r,n,thread,part,time
0,orig,0.2,20,1,density computation,6447.3983333333335
1,orig,0.2,20,1,dependent point finding,2126.0466666666666
2,orig,0.2,20,1,single linkage clustering,0.94532
3,orig,0.2,20,2,density computation,3284.627336666667
4,orig,0.2,20,2,dependent point finding,2185.1066666666666
5,orig,0.2,20,2,single linkage clustering,0.500881
6,orig,0.2,20,4,density computation,2010.4611733333334
7,orig,0.2,20,4,dependent point finding,1293.33
8,orig,0.2,20,4,single linkage clustering,0.3374996666666667
9,orig,0.2,20,8,density computation,1028.9214766666666
10,orig,0.2,20,8,dependent point finding,604.5653333333333
11,orig,0.2,20,8,single linkage clustering,0.25048
12,orig,0.2,20,16,density computation,540.8727866666667
13,orig,0.2,20,16,dependent point finding,285.64
14,orig,0.2,20,16,single linkage clustering,0.206716
15,orig,0.2,20,30,density computation,305.19604
16,orig,0.2,20,30,dependent point finding,157.41533333333334
17,orig,0.2,20,30,single linkage clustering,0.15407566666666664
18,orig,0.2,20,60,density computation,202.9478333333333
19,orig,0.2,20,60,dependent point finding,115.49633333333334
20,orig,0.2,20,60,single linkage clustering,0.15520599999999998
